 Protein   Total       C       H       E       C%       H%       E%
-------------------------------------------------------------------
       1     238     115       7     116   48.3%    2.9%   48.7%
       2     238     113       8     117   47.5%    3.4%   49.2%
       3     228     113       7     108   49.6%    3.1%   47.4%
       4     238     121       8     109   50.8%    3.4%   45.8%
       5     237     129      13      95   54.4%    5.5%   40.1%
       6     231     103      33      95   44.6%   14.3%   41.1%
       7     231     110       7     114   47.6%    3.0%   49.4%
       8     232     133       5      94   57.3%    2.2%   40.5%
       9     232     103      58      71   44.4%   25.0%   30.6%
      10     241     105      21     115   43.6%    8.7%   47.7%
      11     238     117      28      93   49.2%   11.8%   39.1%
      12     238     115      29      94   48.3%   12.2%   39.5%
      13     237     116      26      95   48.9%   11.0%   40.1%
      14     239     117      27      95   49.0%   11.3%   39.7%
      15     239     112       9     118   46.9%    3.8%   49.4%
      16     231     110      11     110   47.6%    4.8%   47.6%
      17     226      93      24     109   41.2%   10.6%   48.2%
      18     223     101      11     111   45.3%    4.9%   49.8%
      19     219      96      17     106   43.8%    7.8%   48.4%
      20     226      91      30     105   40.3%   13.3%   46.5%
      21     229      98       6     125   42.8%    2.6%   54.6%
      22     229      98       6     125   42.8%    2.6%   54.6%
      23     227     111       8     108   48.9%    3.5%   47.6%
      24     231     113       8     110   48.9%    3.5%   47.6%
      25     231     110      10     111   47.6%    4.3%   48.1%
      26     231     111       9     111   48.1%    3.9%   48.1%
      27     225      96       0     129   42.7%    0.0%   57.3%
      28     231     111       8     112   48.1%    3.5%   48.5%
      29     220     109       8     103   49.5%    3.6%   46.8%
      30     238     115       8     115   48.3%    3.4%   48.3%
      31     238     129      27      82   54.2%   11.3%   34.5%
      32     232     122       6     104   52.6%    2.6%   44.8%
      33     232     137       6      89   59.1%    2.6%   38.4%
      34     232     138      14      80   59.5%    6.0%   34.5%
      35     225      96      26     103   42.7%   11.6%   45.8%
      36     219      98      11     110   44.7%    5.0%   50.2%
      37     216     103      13     100   47.7%    6.0%   46.3%
      38     239     119       7     113   49.8%    2.9%   47.3%
      39     224     101      10     113   45.1%    4.5%   50.4%
      40     221     108       5     108   48.9%    2.3%   48.9%
      41     221      92       4     125   41.6%    1.8%   56.6%
      42     221     110       4     107   49.8%    1.8%   48.4%
      43     221     101       5     115   45.7%    2.3%   52.0%
      44     245     119       8     118   48.6%    3.3%   48.2%
      45     223     100       6     117   44.8%    2.7%   52.5%
      46     239     112       9     118   46.9%    3.8%   49.4%
      47     238     120       9     109   50.4%    3.8%   45.8%
      48     225     106       6     113   47.1%    2.7%   50.2%
      49     232     123      11      98   53.0%    4.7%   42.2%
      50     237     136      16      85   57.4%    6.8%   35.9%
      51     233     109      10     114   46.8%    4.3%   48.9%
      52     239     114       5     120   47.7%    2.1%   50.2%
      53     239     106       5     128   44.4%    2.1%   53.6%
      54     227     115      10     102   50.7%    4.4%   44.9%
      55     239     125       6     108   52.3%    2.5%   45.2%
      56     241     123       5     113   51.0%    2.1%   46.9%
      57     219     112       8      99   51.1%    3.7%   45.2%
      58     217     135       3      79   62.2%    1.4%   36.4%
      59     226     100      23     103   44.2%   10.2%   45.6%
      60     226      97      24     105   42.9%   10.6%   46.5%
      61     239     111      10     118   46.4%    4.2%   49.4%
      62     238     114       8     116   47.9%    3.4%   48.7%
      63     238     119       9     110   50.0%    3.8%   46.2%
      64     238     114       8     116   47.9%    3.4%   48.7%
      65     238     113       9     116   47.5%    3.8%   48.7%
      66     225      97       5     123   43.1%    2.2%   54.7%
      67     225      96      15     114   42.7%    6.7%   50.7%
      68     230     102      14     114   44.3%    6.1%   49.6%
      69     230     104      12     114   45.2%    5.2%   49.6%
      70     230     103      14     113   44.8%    6.1%   49.1%
      71     232     103      14     115   44.4%    6.0%   49.6%
      72     239     109       9     121   45.6%    3.8%   50.6%
      73     231      99      10     122   42.9%    4.3%   52.8%
      74     236     113      22     101   47.9%    9.3%   42.8%
      75     239     108      22     109   45.2%    9.2%   45.6%
      76     224      98      10     116   43.8%    4.5%   51.8%
      77     224      97      10     117   43.3%    4.5%   52.2%
      78     224      97      10     117   43.3%    4.5%   52.2%
      79     225      95      31      99   42.2%   13.8%   44.0%
      80     226     116      23      87   51.3%   10.2%   38.5%
      81     239     102       9     128   42.7%    3.8%   53.6%
      82     225     108       6     111   48.0%    2.7%   49.3%
      83     229     115       0     114   50.2%    0.0%   49.8%
      84     224     100      18     106   44.6%    8.0%   47.3%
      85     228     105       9     114   46.1%    3.9%   50.0%
      86     220     101      11     108   45.9%    5.0%   49.1%
      87     239     117      10     112   49.0%    4.2%   46.9%
      88     238     121       8     109   50.8%    3.4%   45.8%
      89     238     115       8     115   48.3%    3.4%   48.3%
      90     239     112      10     117   46.9%    4.2%   49.0%
      91     226      98      24     104   43.4%   10.6%   46.0%
      92     239     110       8     121   46.0%    3.3%   50.6%
      93     239     109       8     122   45.6%    3.3%   51.0%
      94     219     110       8     101   50.2%    3.7%   46.1%
      95     219     117       3      99   53.4%    1.4%   45.2%
      96     219     107       7     105   48.9%    3.2%   47.9%
      97     224     107      21      96   47.8%    9.4%   42.9%
      98     224      99      10     115   44.2%    4.5%   51.3%
      99     239     119      10     110   49.8%    4.2%   46.0%
     100     238     117       8     113   49.2%    3.4%   47.5%
     101     231     107      14     110   46.3%    6.1%   47.6%
     102     239     119       8     112   49.8%    3.3%   46.9%
     103     227      97      15     115   42.7%    6.6%   50.7%
     104     236     128       5     103   54.2%    2.1%   43.6%
     105     236     124       5     107   52.5%    2.1%   45.3%
     106     236     120      10     106   50.8%    4.2%   44.9%
     107     239     110      10     119   46.0%    4.2%   49.8%
     108     232     101      10     121   43.5%    4.3%   52.2%
     109     232     101      10     121   43.5%    4.3%   52.2%
     110     232     100      10     122   43.1%    4.3%   52.6%
     111     232      98      10     124   42.2%    4.3%   53.4%
     112     451     233     100     118   51.7%   22.2%   26.2%
     113     234     118      16     100   50.4%    6.8%   42.7%
     114     225      95      17     113   42.2%    7.6%   50.2%
     115     238     119      16     103   50.0%    6.7%   43.3%
     116     238     119       8     111   50.0%    3.4%   46.6%
     117     238     115      23     100   48.3%    9.7%   42.0%
     118     238     119       8     111   50.0%    3.4%   46.6%
     119     238     117       8     113   49.2%    3.4%   47.5%
     120     238     119       8     111   50.0%    3.4%   46.6%
     121     238     117      10     111   49.2%    4.2%   46.6%
     122     238     115      11     112   48.3%    4.6%   47.1%
     123     238     116       9     113   48.7%    3.8%   47.5%
     124     238     115      11     112   48.3%    4.6%   47.1%
     125     238     115      20     103   48.3%    8.4%   43.3%
     126     238     117      12     109   49.2%    5.0%   45.8%
     127     238     118      11     109   49.6%    4.6%   45.8%
     128     238     121      12     105   50.8%    5.0%   44.1%
     129     238     120      10     108   50.4%    4.2%   45.4%
     130     238     115      11     112   48.3%    4.6%   47.1%
     131     478     267       7     204   55.9%    1.5%   42.7%
     132     234     108       3     123   46.2%    1.3%   52.6%
     133     238     115       8     115   48.3%    3.4%   48.3%
     134     225     136      19      70   60.4%    8.4%   31.1%
     135     228     127      27      74   55.7%   11.8%   32.5%
     136     134      86      48       0   64.2%   35.8%    0.0%
     137     248     123      27      98   49.6%   10.9%   39.5%
     138     248     121      26     101   48.8%   10.5%   40.7%
     139     248     133      22      93   53.6%    8.9%   37.5%
     140     248     132      12     104   53.2%    4.8%   41.9%
     141     248     122      21     105   49.2%    8.5%   42.3%
     142     248     129      20      99   52.0%    8.1%   39.9%
     143     248     124      28      96   50.0%   11.3%   38.7%
     144     248     126      16     106   50.8%    6.5%   42.7%
     145     248     127      19     102   51.2%    7.7%   41.1%
     146     248     130      19      99   52.4%    7.7%   39.9%
     147     248     127      25      96   51.2%   10.1%   38.7%
     148     248     131       5     112   52.8%    2.0%   45.2%
     149     248     124      36      88   50.0%   14.5%   35.5%
     150     248     121      27     100   48.8%   10.9%   40.3%
     151     248     131      20      97   52.8%    8.1%   39.1%
     152     248     129      22      97   52.0%    8.9%   39.1%
     153     248     123      36      89   49.6%   14.5%   35.9%
     154     248     129      27      92   52.0%   10.9%   37.1%
     155     248     127      20     101   51.2%    8.1%   40.7%
     156     248     129      27      92   52.0%   10.9%   37.1%
     157     248     132       5     111   53.2%    2.0%   44.8%
     158     248     131      25      92   52.8%   10.1%   37.1%
     159     248     128      27      93   51.6%   10.9%   37.5%
     160     248     132      18      98   53.2%    7.3%   39.5%
     161     248     131      15     102   52.8%    6.0%   41.1%
     162     248     126      23      99   50.8%    9.3%   39.9%
     163     248     136      18      94   54.8%    7.3%   37.9%
     164     248     126      21     101   50.8%    8.5%   40.7%
     165     248     122      27      99   49.2%   10.9%   39.9%
     166     248     129      13     106   52.0%    5.2%   42.7%
     167     248     122      19     107   49.2%    7.7%   43.1%
     168     248     124      36      88   50.0%   14.5%   35.5%
     169     248     129      27      92   52.0%   10.9%   37.1%
     170     248     130       7     111   52.4%    2.8%   44.8%
     171     248     129      19     100   52.0%    7.7%   40.3%
     172     248     130      22      96   52.4%    8.9%   38.7%
     173     248     123      31      94   49.6%   12.5%   37.9%
     174     249     123       5     121   49.4%    2.0%   48.6%
     175     249     119      10     120   47.8%    4.0%   48.2%
     176     249     115       5     129   46.2%    2.0%   51.8%
     177     249     118       5     126   47.4%    2.0%   50.6%
     178     249     117      19     113   47.0%    7.6%   45.4%
     179     249     116       6     127   46.6%    2.4%   51.0%
     180     249     126       5     118   50.6%    2.0%   47.4%
     181     249     116       5     128   46.6%    2.0%   51.4%
     182     249     124       7     118   49.8%    2.8%   47.4%
     183     249     120       7     122   48.2%    2.8%   49.0%
     184     249     121       5     123   48.6%    2.0%   49.4%
     185     249     117       5     127   47.0%    2.0%   51.0%
     186     249     115       5     129   46.2%    2.0%   51.8%
     187     249     120       5     124   48.2%    2.0%   49.8%
     188     249     120       5     124   48.2%    2.0%   49.8%
     189     249     118       5     126   47.4%    2.0%   50.6%
     190     249     118      15     116   47.4%    6.0%   46.6%
     191     249     118       5     126   47.4%    2.0%   50.6%
     192     249     119       5     125   47.8%    2.0%   50.2%
     193     248     132      12     104   53.2%    4.8%   41.9%
